Adj. Close,Split Ratio,Ticker
37.35,1.0,ZUMZ
37.08,1.0,ZUMZ
35.77,1.0,ZUMZ
37.74,1.0,ZUMZ
36.99,1.0,ZUMZ
37.45,1.0,ZUMZ
38.42,1.0,ZUMZ
36.48,1.0,ZUMZ
38.72,1.0,ZUMZ
41.0,1.0,ZUMZ
42.93,1.0,ZUMZ
44.95,1.0,ZUMZ
41.8,1.0,ZUMZ
40.96,1.0,ZUMZ
39.65,1.0,ZUMZ
39.96,1.0,ZUMZ
41.17,1.0,ZUMZ
41.15,1.0,ZUMZ
42.26,1.0,ZUMZ
44.37,1.0,ZUMZ
47.89,1.0,ZUMZ
45.86,1.0,ZUMZ
46.42,1.0,ZUMZ
45.19,1.0,ZUMZ
44.72,1.0,ZUMZ
46.69,1.0,ZUMZ
47.97,1.0,ZUMZ
48.53,1.0,ZUMZ
48.16,1.0,ZUMZ
47.16,1.0,ZUMZ
48.15,1.0,ZUMZ
45.36,1.0,ZUMZ
44.73,1.0,ZUMZ
45.78,1.0,ZUMZ
45.74,1.0,ZUMZ
46.91,1.0,ZUMZ
47.2,1.0,ZUMZ
47.57,1.0,ZUMZ
49.11,1.0,ZUMZ
49.0601,1.0,ZUMZ
48.12,1.0,ZUMZ
47.02,1.0,ZUMZ
46.51,1.0,ZUMZ
46.23,1.0,ZUMZ
45.24,1.0,ZUMZ
45.55,1.0,ZUMZ
44.37,1.0,ZUMZ
46.59,1.0,ZUMZ
47.46,1.0,ZUMZ
46.82,1.0,ZUMZ
46.14,1.0,ZUMZ
47.92,1.0,ZUMZ
47.52,1.0,ZUMZ
46.98,1.0,ZUMZ
47.4,1.0,ZUMZ
50.63,1.0,ZUMZ
51.25,1.0,ZUMZ
49.78,1.0,ZUMZ
47.87,1.0,ZUMZ
46.36,1.0,ZUMZ
44.73,1.0,ZUMZ
43.54,1.0,ZUMZ
44.31,1.0,ZUMZ
43.37,1.0,ZUMZ
42.74,1.0,ZUMZ
44.07,1.0,ZUMZ
45.04,1.0,ZUMZ
44.66,1.0,ZUMZ
41.17,1.0,ZUMZ
41.86,1.0,ZUMZ
38.8,1.0,ZUMZ
37.96,1.0,ZUMZ
38.2,1.0,ZUMZ
37.46,1.0,ZUMZ
39.45,1.0,ZUMZ
28.74,1.0,ZUMZ
26.13,1.0,ZUMZ
26.76,1.0,ZUMZ
29.01,1.0,ZUMZ
28.23,1.0,ZUMZ
27.72,1.0,ZUMZ
27.32,1.0,ZUMZ
25.5,1.0,ZUMZ
26.77,1.0,ZUMZ
26.73,1.0,ZUMZ
27.94,1.0,ZUMZ
26.71,1.0,ZUMZ
27.35,1.0,ZUMZ
28.47,1.0,ZUMZ
27.1,1.0,ZUMZ
27.8,1.0,ZUMZ
29.32,1.0,ZUMZ
28.95,1.0,ZUMZ
29.35,1.0,ZUMZ
25.13,1.0,ZUMZ
24.58,1.0,ZUMZ
24.94,1.0,ZUMZ
24.84,1.0,ZUMZ
24.54,1.0,ZUMZ
24.06,1.0,ZUMZ
22.91,1.0,ZUMZ
22.41,1.0,ZUMZ
22.95,1.0,ZUMZ
22.75,1.0,ZUMZ
23.11,1.0,ZUMZ
25.03,1.0,ZUMZ
25.77,1.0,ZUMZ
27.11,1.0,ZUMZ
26.37,1.0,ZUMZ
25.51,1.0,ZUMZ
24.36,1.0,ZUMZ
22.2,1.0,ZUMZ
20.28,1.0,ZUMZ
18.6475,1.0,ZUMZ
16.94,1.0,ZUMZ
16.31,1.0,ZUMZ
17.48,1.0,ZUMZ
17.56,1.0,ZUMZ
16.89,1.0,ZUMZ
17.21,1.0,ZUMZ
16.83,1.0,ZUMZ
17.33,1.0,ZUMZ
16.15,1.0,ZUMZ
15.59,1.0,ZUMZ
16.68,1.0,ZUMZ
18.52,1.0,ZUMZ
19.22,1.0,ZUMZ
17.44,1.0,ZUMZ
17.9,1.0,ZUMZ
17.32,1.0,ZUMZ
17.8,1.0,ZUMZ
19.23,1.0,ZUMZ
20.04,1.0,ZUMZ
20.29,1.0,ZUMZ
19.02,1.0,ZUMZ
18.21,1.0,ZUMZ
19.99,1.0,ZUMZ
20.01,1.0,ZUMZ
19.32,1.0,ZUMZ
19.22,1.0,ZUMZ
19.07,1.0,ZUMZ
17.94,1.0,ZUMZ
18.46,1.0,ZUMZ
18.05,1.0,ZUMZ
18.44,1.0,ZUMZ
17.56,1.0,ZUMZ
18.7,1.0,ZUMZ
18.8,1.0,ZUMZ
19.89,1.0,ZUMZ
19.56,1.0,ZUMZ
18.5,1.0,ZUMZ
17.58,1.0,ZUMZ
17.55,1.0,ZUMZ
17.64,1.0,ZUMZ
17.56,1.0,ZUMZ
14.48,1.0,ZUMZ
14.11,1.0,ZUMZ
13.84,1.0,ZUMZ
13.94,1.0,ZUMZ
14.0,1.0,ZUMZ
14.1,1.0,ZUMZ
15.24,1.0,ZUMZ
15.35,1.0,ZUMZ
16.18,1.0,ZUMZ
15.98,1.0,ZUMZ
17.49,1.0,ZUMZ
19.15,1.0,ZUMZ
18.62,1.0,ZUMZ
18.15,1.0,ZUMZ
16.55,1.0,ZUMZ
15.16,1.0,ZUMZ
15.69,1.0,ZUMZ
16.43,1.0,ZUMZ
16.99,1.0,ZUMZ
16.27,1.0,ZUMZ
16.62,1.0,ZUMZ
16.61,1.0,ZUMZ
16.59,1.0,ZUMZ
16.54,1.0,ZUMZ
17.5,1.0,ZUMZ
17.27,1.0,ZUMZ
16.98,1.0,ZUMZ
17.54,1.0,ZUMZ
18.29,1.0,ZUMZ
17.79,1.0,ZUMZ
17.81,1.0,ZUMZ
17.91,1.0,ZUMZ
18.33,1.0,ZUMZ
19.61,1.0,ZUMZ
20.18,1.0,ZUMZ
20.26,1.0,ZUMZ
20.1,1.0,ZUMZ
20.85,1.0,ZUMZ
20.95,1.0,ZUMZ
22.27,1.0,ZUMZ
22.76,1.0,ZUMZ
20.4,1.0,ZUMZ
20.92,1.0,ZUMZ
20.43,1.0,ZUMZ
19.12,1.0,ZUMZ
19.82,1.0,ZUMZ
20.05,1.0,ZUMZ
21.08,1.0,ZUMZ
21.18,1.0,ZUMZ
21.03,1.0,ZUMZ
20.5,1.0,ZUMZ
20.9,1.0,ZUMZ
20.39,1.0,ZUMZ
19.19,1.0,ZUMZ
19.2,1.0,ZUMZ
19.36,1.0,ZUMZ
19.51,1.0,ZUMZ
20.02,1.0,ZUMZ
21.83,1.0,ZUMZ
20.96,1.0,ZUMZ
19.9,1.0,ZUMZ
19.51,1.0,ZUMZ
19.62,1.0,ZUMZ
20.2,1.0,ZUMZ
19.83,1.0,ZUMZ
19.83,1.0,ZUMZ
20.37,1.0,ZUMZ
20.57,1.0,ZUMZ
20.09,1.0,ZUMZ
21.9,1.0,ZUMZ
22.33,1.0,ZUMZ
22.14,1.0,ZUMZ
20.56,1.0,ZUMZ
20.34,1.0,ZUMZ
19.41,1.0,ZUMZ
18.55,1.0,ZUMZ
18.19,1.0,ZUMZ
18.67,1.0,ZUMZ
17.63,1.0,ZUMZ
17.17,1.0,ZUMZ
16.58,1.0,ZUMZ
17.13,1.0,ZUMZ
15.94,1.0,ZUMZ
16.4,1.0,ZUMZ
16.8,1.0,ZUMZ
18.31,1.0,ZUMZ
17.1,1.0,ZUMZ
13.02,1.0,ZUMZ
12.29,1.0,ZUMZ
12.45,1.0,ZUMZ
13.09,1.0,ZUMZ
13.66,1.0,ZUMZ
14.73,1.0,ZUMZ
14.32,1.0,ZUMZ
13.62,1.0,ZUMZ
15.03,1.0,ZUMZ
15.22,1.0,ZUMZ
14.2,1.0,ZUMZ
13.85,1.0,ZUMZ
13.57,1.0,ZUMZ
14.3,1.0,ZUMZ
14.35,1.0,ZUMZ
14.76,1.0,ZUMZ
14.9,1.0,ZUMZ
13.89,1.0,ZUMZ
13.52,1.0,ZUMZ
14.43,1.0,ZUMZ
12.77,1.0,ZUMZ
13.18,1.0,ZUMZ
14.39,1.0,ZUMZ
14.41,1.0,ZUMZ
13.7,1.0,ZUMZ
14.01,1.0,ZUMZ
14.5,1.0,ZUMZ
14.08,1.0,ZUMZ
13.19,1.0,ZUMZ
13.28,1.0,ZUMZ
13.19,1.0,ZUMZ
13.75,1.0,ZUMZ
13.46,1.0,ZUMZ
13.73,1.0,ZUMZ
14.3,1.0,ZUMZ
14.77,1.0,ZUMZ
14.41,1.0,ZUMZ
15.3,1.0,ZUMZ
16.43,1.0,ZUMZ
16.45,1.0,ZUMZ
16.08,1.0,ZUMZ
17.23,1.0,ZUMZ
16.96,1.0,ZUMZ
17.63,1.0,ZUMZ
17.85,1.0,ZUMZ
17.62,1.0,ZUMZ
16.46,1.0,ZUMZ
17.38,1.0,ZUMZ
16.58,1.0,ZUMZ
17.83,1.0,ZUMZ
18.25,1.0,ZUMZ
17.11,1.0,ZUMZ
16.93,1.0,ZUMZ
16.69,1.0,ZUMZ
16.75,1.0,ZUMZ
16.89,1.0,ZUMZ
16.53,1.0,ZUMZ
16.48,1.0,ZUMZ
16.53,1.0,ZUMZ
15.34,1.0,ZUMZ
13.88,1.0,ZUMZ
14.24,1.0,ZUMZ
14.55,1.0,ZUMZ
13.82,1.0,ZUMZ
11.25,1.0,ZUMZ
13.52,1.0,ZUMZ
14.21,1.0,ZUMZ
11.92,1.0,ZUMZ
10.68,1.0,ZUMZ
10.81,1.0,ZUMZ
10.69,1.0,ZUMZ
10.9,1.0,ZUMZ
10.51,1.0,ZUMZ
9.76,1.0,ZUMZ
8.86,1.0,ZUMZ
8.88,1.0,ZUMZ
8.72,1.0,ZUMZ
9.28,1.0,ZUMZ
9.27,1.0,ZUMZ
9.53,1.0,ZUMZ
9.76,1.0,ZUMZ
9.72,1.0,ZUMZ
9.35,1.0,ZUMZ
8.59,1.0,ZUMZ
8.0,1.0,ZUMZ
8.62,1.0,ZUMZ
7.79,1.0,ZUMZ
7.88,1.0,ZUMZ
7.45,1.0,ZUMZ
8.08,1.0,ZUMZ
7.09,1.0,ZUMZ
6.9,1.0,ZUMZ
7.15,1.0,ZUMZ
6.13,1.0,ZUMZ
6.12,1.0,ZUMZ
7.22,1.0,ZUMZ
7.23,1.0,ZUMZ
7.72,1.0,ZUMZ
8.38,1.0,ZUMZ
8.64,1.0,ZUMZ
7.27,1.0,ZUMZ
7.56,1.0,ZUMZ
8.39,1.0,ZUMZ
8.28,1.0,ZUMZ
9.07,1.0,ZUMZ
9.6,1.0,ZUMZ
8.89,1.0,ZUMZ
9.15,1.0,ZUMZ
8.4,1.0,ZUMZ
8.38,1.0,ZUMZ
7.99,1.0,ZUMZ
8.32,1.0,ZUMZ
8.59,1.0,ZUMZ
8.79,1.0,ZUMZ
8.3,1.0,ZUMZ
7.9,1.0,ZUMZ
7.58,1.0,ZUMZ
7.73,1.0,ZUMZ
7.72,1.0,ZUMZ
7.14,1.0,ZUMZ
7.52,1.0,ZUMZ
7.45,1.0,ZUMZ
7.7,1.0,ZUMZ
8.06,1.0,ZUMZ
8.21,1.0,ZUMZ
8.99,1.0,ZUMZ
9.18,1.0,ZUMZ
9.0,1.0,ZUMZ
8.68,1.0,ZUMZ
8.36,1.0,ZUMZ
