Date,Symbol,Company Name,Split Ratio
01/29/2024,MMAT,Meta Materials Inc,1 : 100
01/26/2024,TC,Tuanche Ltd.,1 : 15
01/25/2024,INO,Inovio Pharmaceuticals Inc,1 : 12
01/25/2024,REVB,Revelation Biosciences Inc,1 : 30
01/25/2024,KAVL,Kaival Brands Innovations Group Inc,1 : 21
01/24/2024,INSG,Inseego Corp,1 : 10
01/23/2024,DTSS,Datasea Inc,1 : 15
01/22/2024,EVAX,Evaxion Biotech A,1 : 10
01/22/2024,NVVE,Nuvve Holding Corp,1 : 40
01/22/2024,PCSA,Processa Pharmaceuticals Inc,1 : 20
01/22/2024,REBN,Reborn Coffee Inc,1 : 8
01/19/2024,CNEY,Cn Energy Group Inc,1 : 30
01/19/2024,CLEU,China Liberal Education Holdings Ltd.,1 : 15
01/18/2024,PBLA,Panbela Therapeutics Inc,1 : 20
01/17/2024,AULT,Ault Alliance Inc,1 : 25
01/16/2024,UXIN,Uxin Ltd.,1 : 10
01/16/2024,AXIL,Axil Brands Inc,1 : 20
01/16/2024,RNAZ,Transcode Therapeutics Inc,1 : 40
01/12/2024,EFTR,Effector Therapeutics Inc,1 : 25
01/10/2024,MESO,Mesoblast Ltd.,1 : 2
01/09/2024,TTNP,Titan Pharmaceuticals Inc,1 : 20
01/08/2024,ONCT,Oncternal Therapeutics Inc,1 : 20
01/08/2024,EIGRQ,Eiger Biopharmaceuticals Inc,1 : 30
01/05/2024,DSS,Dss Inc,1 : 20
01/05/2024,SABS,Sab Biotherapeutics Inc,1 : 10
01/04/2024,JSPR,Jasper Therapeutics Inc,1 : 10
01/04/2024,ACON,Aclarion Inc,1 : 16
01/03/2024,TENX,Tenax Therapeutics Inc,1 : 80
01/03/2024,LXEH,Lixiang Education Holding Co Ltd.,1 : 2
01/03/2024,PRSO,Peraso Inc,1 : 40
01/02/2024,KTTA,Pasithea Therapeutics Corp,1 : 20
01/02/2024,TBLT,Toughbuilt Industries Inc,1 : 65.02
12/29/2023,AVTX,Avalo Therapeutics Inc,1 : 239.81
12/29/2023,VS,Versus Systems Inc,1 : 16
12/27/2023,NXU,Nxu Inc,1 : 149.93
12/27/2023,LIDR,Aeye Inc,1 : 30
12/22/2023,GMBL,Esports Entertainment Group Inc,1 : 400
12/21/2023,NRBO,Neurobo Pharmaceuticals Inc,1 : 8
12/21/2023,BKYI,Bio Key International Inc,1 : 18
12/21/2023,MULN,Mullen Automotive Inc,1 : 100
12/20/2023,SCOR,Comscore Inc,1 : 20
12/20/2023,SIDU,Sidus Space Inc,1 : 100
12/20/2023,WNW,Meiwu Technology Co Ltd.,1 : 35
12/20/2023,CGC,Canopy Growth Corp,1 : 10
12/20/2023,BBLG,Bone Biologics Corp,1 : 8
12/19/2023,NGNE,Neurogene Inc,1 : 4
12/19/2023,TFFP,Tff Pharmaceuticals Inc,1 : 25
12/18/2023,CYCC,Cyclacel Pharmaceuticals Inc,1 : 15
12/18/2023,VRAX,Virax Biolabs Group Ltd.,1 : 10
12/18/2023,YQ,17 Education & Technology Group Inc,1 : 5
12/18/2023,ENTO,Entero Therapeutics Inc,1 : 20
12/15/2023,SING,Singlepoint Inc,1 : 26
12/15/2023,HUBC,Hub Cyber Security Ltd.,1 : 10
12/15/2023,TCBP,Tc Biopharm (holdings) PLC,1 : 20
12/15/2023,LU,Lufax Holding Ltd.,1 : 4
12/14/2023,AIMD,Ainos Inc,1 : 5
12/14/2023,SRZN,Surrozen Inc,1 : 15
12/14/2023,GENE,Genetic Technologies Ltd.,1 : 100
12/13/2023,CYTO,Altamira Therapeutics Ltd.,1 : 20
12/12/2023,AUVIQ,Applied Uv Inc,1 : 25
12/11/2023,SNCR,Synchronoss Technologies Inc,1 : 9
12/11/2023,JG,Aurora Mobile Ltd.,1 : 20
12/08/2023,TIL,Instil Bio Inc,1 : 20
12/08/2023,CENN,Cenntro Inc,1 : 10
12/08/2023,SNCE,Science 37 Holdings Inc,1 : 20
12/07/2023,PAVM,Pavmed Inc,1 : 15
12/07/2023,XHG,Xchange Tecinc,1 : 40
12/07/2023,XOS,Xos Inc,1 : 30
12/05/2023,DEC,Diversified Energy Co PLC,1 : 20
12/04/2023,MCOM,Micromobilitycom Inc,1 : 149.93
12/04/2023,BNRG,Brenmiller Energy Ltd.,1 : 10
12/04/2023,SYTA,Siyata Mobile Inc,1 : 7
12/01/2023,ENG,Englobal Corp,1 : 8
11/30/2023,LQR,Lqr House Inc,1 : 59.99
11/30/2023,UK,Ucommune International Ltd.,1 : 12
11/30/2023,IXHL,Incannex Healthcare Inc,1 : 4
11/30/2023,CING,Cingulate Inc,1 : 20
11/29/2023,IBIO,Ibio Inc,1 : 20
11/29/2023,PRAX,Praxis Precision Medicines Inc,1 : 15
11/29/2023,RGS,Regis Corp,1 : 20
11/28/2023,YOSH,Yoshiharu Global Co.,1 : 10
11/28/2023,CMND,Clearmind Medicine Inc,1 : 30
11/27/2023,CHR,Cheer Holding Inc,1 : 10
11/22/2023,BODI,Beachbody Company Inc,1 : 50
11/22/2023,NURO,Neurometrix Inc,1 : 8
11/21/2023,VTVT,Vtv Therapeutics Inc,1 : 40
11/17/2023,SNES,Senestech Inc,1 : 12
11/17/2023,AMTD,Amtd Idea Group,1 : 3
11/17/2023,TRVG,Trivago Nv,1 : 5
11/16/2023,AEYGQ,Addvantage Technologies Group Inc,1 : 10
11/16/2023,MDXH,Mdxhealth SA,
11/16/2023,DDC,Ddc Enterprise Ltd.,1 : 16
11/15/2023,RVSN,Rail Vision Ltd.,1 : 8
11/15/2023,HYMC,Hycroft Mining Holding Corp,1 : 10
11/14/2023,PRE,Prenetics Global Ltd.,1 : 15
11/14/2023,XRTX,Xortx Therapeutics Inc,1 : 9
11/08/2023,QNRX,Quoin Pharmaceuticals Ltd.,
11/07/2023,DOGZ,Dogness (international) Corp,1 : 20
11/07/2023,NVOS,Novo Integrated Sciences Inc,1 : 10
11/07/2023,FOXO,Foxo Technologies Inc,1 : 10
11/06/2023,KRRO,Korro Bio Inc,1 : 50
11/03/2023,CANOQ,Cano Health Inc,1 : 100
11/03/2023,JFBR,Jeffs' Brands Ltd.,1 : 7
11/02/2023,TNON,Tenon Medical Inc,1 : 10
11/02/2023,MOTS,Motus Gi Holdings Inc,1 : 15
11/01/2023,BYFC,Broadway Financial Corp,1 : 8
10/31/2023,ALZN,Alzamend Neuro Inc,1 : 15
10/31/2023,GYRE,Gyre Therapeutics Inc,1 : 15
10/31/2023,PXMD,Paxmedica Inc,1 : 17
10/30/2023,BYU,Baiyu Holdings Inc,1 : 50
10/30/2023,GVP,Gse Systems Inc,1 : 10
10/27/2023,ZIVO,Zivo Bioscience Inc,1 : 6
10/27/2023,CPOP,Pop Culture Group Co Ltd.,1 : 10
10/27/2023,VVOS,Vivos Therapeutics Inc,1 : 25
10/27/2023,JWEL,Jowell Global Ltd.,1 : 16
10/27/2023,NOAH,Noah Holdings Ltd.,
10/26/2023,VHC,Virnetx Holding Corp,1 : 20
10/26/2023,GTH,Genetron Holdings Ltd.,1 : 3
10/23/2023,ADXN,Addex Therapeutics Ltd.,1 : 20
10/20/2023,TRML,Tourmaline Bio Inc,1 : 10
10/20/2023,POLCQ,Polishedcom Inc,1 : 50
10/19/2023,NEXI,Neximmune Inc,1 : 25
10/18/2023,OCG,Oriental Culture Holding Ltd.,1 : 5
10/18/2023,REE,Ree Automotive Ltd.,1 : 30
10/18/2023,WAVD,Wavedancer Inc,1 : 10
10/17/2023,ISPO,Inspirato Inc,1 : 20
10/17/2023,NTBL,Notable Labs Ltd.,1 : 35
10/17/2023,IMTE,Integrated Media Technology Ltd.,1 : 10
10/16/2023,PROP,Prairie Operating Co.,1 : 28.57
10/16/2023,SLNH,Soluna Holdings Inc,1 : 25
10/16/2023,MIND,Mind Technology Inc,1 : 10
10/16/2023,AQB,Aquabounty Technologies Inc,1 : 20
10/16/2023,PIXY,Shiftpixy Inc,1 : 24
10/16/2023,JCSE,Je Cleantech Holdings Ltd.,1 : 3
10/13/2023,LIFW,Msp Recovery Inc,1 : 25
10/13/2023,TTOO,T2 Biosystems Inc,1 : 100
10/12/2023,AMAM,Ambrx Biopharma Inc,
10/11/2023,EDSA,Edesa Biotech Inc,1 : 7
