Date,Symbol,Company Name,Split Ratio
9/11/2023,EFSH,1847 Holdings LLC,1 : 25
9/11/2023,ABAT,American Battery Technology Co.,1 : 15
9/8/2023,SYRE,Spyre Therapeutics Inc,1 : 25
9/8/2023,SKYE,Skye Bioscience Inc,1 : 250
9/8/2023,BACK,Imac Holdings Inc,1 : 30
9/8/2023,ACFN,Acorn Energy Inc,1 : 16
9/7/2023,RVYL,Ryvyl Inc,1 : 10
9/7/2023,GROM,Grom Social Enterprises Inc,1 : 20
9/5/2023,WEWKQ,Wework Inc,1 : 40
9/5/2023,HARP,Harpoon Therapeutics Inc,1 : 10
9/1/2023,SONN,Sonnet Biotherapeutics Holdings Inc,1 : 22
9/1/2023,HLGN,Heliogen Inc,1 : 35
8/31/2023,SPIR,Spire Global Inc,1 : 8
8/31/2023,SEQL,Seqll Inc,1 : 40
8/31/2023,EXPR,Express Inc,1 : 20
8/29/2023,DMSL,Digital Media Solutions Inc,1 : 15
8/28/2023,FFIE,Faraday Future Intelligent Electric Inc,1 : 80
8/25/2023,RCRT,Recruitercom Group Inc,1 : 15
8/25/2023,IDEX,Ideanomics Inc,1 : 125
8/25/2023,ICCT,Icoreconnect Inc,1 : 29.84
8/25/2023,CLVV,Clever Leaves Holdings Inc,1 : 30
8/24/2023,MNTS,Momentus Inc,1 : 50
8/24/2023,BTCT,Btc Digital Ltd.,1 : 20
8/24/2023,AMC,Amc Entertainment Holdings Inc,1 : 10
8/23/2023,TIVC,Tivic Health Systems Inc,1 : 100
8/23/2023,SUNLQ,Sunlight Financial Holdings Inc,1 : 20
8/22/2023,DBGI,Digital Brands Group Inc,1 : 25
8/21/2023,SMX,Smx (security Matters) Public Ltd Co.,1 : 22
8/21/2023,BQ,Boqii Holding Ltd.,1 : 3.33
8/18/2023,VAPO,Vapotherm Inc,1 : 8
8/18/2023,ADTX,Aditxt Inc,1 : 40
8/17/2023,HSDT,Helius Medical Technologies Inc,1 : 50
8/17/2023,CRVO,Cervomed Inc,1 : 1.5
8/17/2023,AKTX,Akari Therapeutics PLC,1 : 20
8/16/2023,WATT,Energous Corp,1 : 20
8/15/2023,CRKN,Crown Electrokinetics Corp,1 : 59.99
8/14/2023,MTEM,Molecular Templates Inc,1 : 15
8/14/2023,MOGO,Mogo Inc,1 : 3
8/11/2023,MULN,Mullen Automotive Inc,1 : 9
8/10/2023,LTRY,Lotterycom Inc,1 : 20
8/9/2023,SYTA,Siyata Mobile Inc,1 : 100
8/7/2023,MOBQ,Mobiquity Technologies Inc,1 : 15
8/7/2023,BNGO,Bionano Genomics Inc,1 : 10
8/7/2023,ADIL,Adial Pharmaceuticals Inc,1 : 25
8/4/2023,OTMO,Otonomo Technologies Ltd.,1 : 15
8/4/2023,NCMI,National Cinemedia Inc,1 : 10
