Date,Symbol,Company Name,Split Ratio
05/13/2024,ANZGF,ANZ Group Holdings Limited,1:1
05/09/2024,STGC,"StartEngine Crowdfunding, Inc.",1:20
05/09/2024,PHG,Koninklijke Philips N.V.,1:1
05/09/2024,HLPPF,Hang Lung Properties Limited,1:1
05/09/2024,GLBIF,Unknown,1:1
05/09/2024,EDVR,Endeavor Bancorp,1:1
05/09/2024,CSYJF,CSE Global Limited,1:1
05/08/2024,XTPEF,Xtep International Holdings Limited,1:1
05/08/2024,NAUBF,National Australia Bank Limited,1:1
05/07/2024,SAABF,Saab AB (publ),1:4
05/06/2024,ESLOF,EssilorLuxottica Société anonyme,1:1
05/01/2024,SOPA,Society Pass Incorporated,1:2
05/01/2024,PPI,AXS Astoria Inflation Sensitive ETF,1:2
04/26/2024,MDRKF,Unknown,1:5
04/25/2024,XTKG,X3 Holdings Co Ltd.,1:1
04/25/2024,BDORY,Banco do Brasil S.A.,1:2
04/23/2024,MBLU,"Morris State Bancshares, Inc.",1:6
04/19/2024,GSEFF,Covivio,1:1
04/16/2024,CSPKF,COSCO SHIPPING Ports Limited,1:1
